"ID";"Tipo";"Estado";"Data da solicitação";"Software/componente";"Assunto";"Autor";"Idade";"Data do fechamento"
"CHG-6812";"Mudança";"OFF";"22/03/2013";"Facture-e";"SPED de empresa com lucro presumido";"Rogério Rezende";5;"27/03/2013"
"CHG-6813";"Mudança";"REJ";"22/03/2013";"School (web)";"Link de Suporte - School Web";"Robson Pacífico";26;
"BUG-6814";"Falha/erro";"ACE";"22/03/2013";"Geagro";"Erro no Histórico de IE de Produtor";"Carlos Henrique";26;
"BUG-6815";"Falha/erro";"OFF";"22/03/2013";"Facture-e";"Erro ao importar XML CTE/ Hora Emissão";"Rogério Rezende";5;"27/03/2013"
"CHG-6816";"Mudança";"ABE";"22/03/2013";"School (desktop)";"Incluir campo para permitir ou não a geração automática de históricos";"Diego";26;
"BUG-6817";"Falha/erro";"REJ";"22/03/2013";"Facture-e";"Erro ao importar XML CTE / Dados da NF-e vinculada";"Rogério Rezende";26;
"CHG-6818";"Mudança";"ACE";"22/03/2013";"Sicopri";"Mudança do modelo da FAS";"Rogério Rezende";26;
"BUG-6821";"Falha/erro";"OFF";"25/03/2013";"Facture-e";"Erro no cadastro de Produtos";"Uiaciane";3;"27/03/2013"
"BUG-6827";"Falha/erro";"OFF";"25/03/2013";"School (desktop)";"Impressão de ata com nome da turma em letra minúscula";"Diego";2;"27/03/2013"
"BUG-6829";"Falha/erro";"OFF";"25/03/2013";"School (desktop)";"Erro de alunos Remanejados nas Atas";"Gabrielle";2;"27/03/2013"
"BUG-6840";"Falha/erro";"OFF";"26/03/2013";"School (desktop)";"Erro ao agrupar alunos";"Gabrielle";2;"27/03/2013"
"BUG-6841";"Falha/erro";"ACE";"26/03/2013";"Geagro";"Somatório das Notas no relatório de Histórico da Inscrição Estadual";"Robson Pacífico";22;
"BUG-6842";"Falha/erro";"OFF";"26/03/2013";"Facture-e";"Erro ao acessar os produtos acabados";"Diego";1;"27/03/2013"
"BUG-6843";"Falha/erro";"ACE";"26/03/2013";"Geagro";"Hint do botão do Histórico da Inscrição Estadual";"Robson Pacífico";22;
"NEW-6844";"Nova funcionalidade";"ACE";"26/03/2013";"Geagro";"Ficha Complementar da Agropecuária - FCA";"Robson Pacífico";22;
"BUG-6845";"Falha/erro";"ACE";"26/03/2013";"Geagro";"Falha na máscara do documento INCRA";"Diego";22;
"BUG-6846";"Falha/erro";"REJ";"26/03/2013";"Geagro";"Erro ao alterar propriedade em um processo de nova IE";"Diego";22;
"NEW-6704";"Nova funcionalidade";"REA";"27/03/2013";"School (web)";"Gráfico de distribuição de alunos";"Rogério Rezende";37;
"BUG-6854";"Falha/erro";"REJ";"27/03/2013";"Monnae";"Erro de cálculo de crédito e débito";"Luana";21;
"BUG-6857";"Falha/erro";"ACE";"27/03/2013";"Facture-e";"Erro ao utilizar o CST 06 no PIS";"Diego";21;
"BUG-6858";"Falha/erro";"ACE";"27/03/2013";"Facture-e";"Exclusão de produtos não utilizados no sistema";"Carlos Henrique";21;
"BUG-6867";"Falha/erro";"RES";"27/03/2013";"School (desktop)";"As aulas dadas nas transferências estão sendo modificadas";"Diego";21;
"NEW-6869";"Nova funcionalidade";"ACE";"28/03/2013";"School (desktop)";"Coodenada Geografica Aluno";"Marco Aurélio";20;
"CHG-6870";"Mudança";"ACE";"28/03/2013";"School (desktop)";"Descrição dos alunos não matriculados ao agrupar alunos";"Diego";20;
"CHG-6872";"Mudança";"RES";"28/03/2013";"School (desktop)";"Ajustar os texto nas Inf. Adicionais do calendário";"Diego";20;
"BUG-6873";"Falha/erro";"VER";"28/03/2013";"School (desktop)";"Falha ao desvincular curso da escola";"Gabrielle";20;
"BUG-6874";"Falha/erro";"RES";"28/03/2013";"School (desktop)";"Erro ao alterar Data de Matrícula na movimentação do aluno";"Gabrielle";20;
"CHG-6883";"Mudança";"ACE";"01/04/2013";"Sicopri";"Mudança no cadastro de Notas Fiscais";"Rogério Rezende";16;
"CHG-6884";"Mudança";"ACE";"01/04/2013";"Monnae";"Acrescentar a opção de selecionar Pessoas no Relatório de Titulos";"Uiaciane";16;
"BUG-6898";"Falha/erro";"VER";"01/04/2013";"Monnae";"Erro no resultado do gráfico de saldo financeiro";"Leandro";16;
"CHG-6899";"Mudança";"ACE";"01/04/2013";"Facture-e";"Texto da Barra de Título - Importação de XML do CTE";"Carlos Henrique";16;
"NEW-6900";"Nova funcionalidade";"ACE";"01/04/2013";"Facture-e";"Incluir Coluna Situação no Grid de CTE";"Carlos Henrique";16;
"NEW-6901";"Nova funcionalidade";"RES";"02/04/2013";"School (desktop)";"Ferramenta para ordenar eventos no calendário";"Diego";15;
"CHG-6902";"Mudança";"ACE";"02/04/2013";"Facture-e";"Alerta ao emitir NFE/CTE com numeração diferente da sequência normal de uma determinada série";"Carlos Henrique";15;
"CHG-6904";"Mudança";"VER";"02/04/2013";"Monnae";"Iniciar texto do recibo de acordo com o tipo de pessoa";"Diego";15;
"NEW-6905";"Nova funcionalidade";"ACE";"02/04/2013";"Sicopri";"Ficha Complementar da Agropecuária - FCA";"Carlos Henrique";15;
"BUG-6906";"Falha/erro";"ACE";"02/04/2013";"School (web)";"Sistema exibindo ano letivo errado";"Diego";15;
"CHG-6907";"Mudança";"VER";"03/04/2013";"School (web)";"Mudar comportamento de exibição de gráficos no School Web";"Eduardo";14;
"CHG-6909";"Mudança";"REJ";"03/04/2013";"Geagro";"Geagro - incluir mais de um produtor para o mesmo tipo de serviço";"Paulo Sardenberg Machado";14;
"BUG-6913";"Falha/erro";"ABE";"04/04/2013";"Monnae";"Log de ações boletos";"Leandro";13;
"CHG-6914";"Mudança";"ACE";"04/04/2013";"Facture-e";"Cancelamento de NF-e sem uso de eventos";"Breno";13;
"CHG-6915";"Mudança";"ACE";"04/04/2013";"Facture-e";"NF-e: Nota Técnica 2013/002";"Breno";13;
"CHG-6916";"Mudança";"VER";"04/04/2013";"School (desktop)";"Cor dos tipos de evento do calendário";"Carlos Fim";13;
"BUG-6917";"Falha/erro";"VER";"04/04/2013";"Monnae";"Falha na paginação ao imprimir vários boletos";"Diego";13;
"BUG-6920";"Falha/erro";"ACE";"04/04/2013";"Facture-e";"Erro ao gerar XML da Carta de Correção Eletrônica";"Carlos Henrique";13;
